"iso3c","iso2c","capital_city","longitude","latitude","region","region_iso3c","income_level","income_level_iso3c","lending_type","standard_imf","bop_imf","short_name","long_name","wb2code","cen_popu","cen_agri","cen_bizz","svy_hous","svy_agri","svy_labr","svy_hlth","svy_bizz","system_na","baseyr_na","classif_industry","cpi_year","classif_hh_consump","compil_finance","compil_monetary","bizz_process","classif_emp","status_account","nso_name","nso_uri","wb_uri","spi_gap_url"
"DZA","DZ","Algiers",3.05097,36.7397,"Middle East & North Africa","MEA","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Algeria","People's Democratic Republic of Algeria","DZ","2022","2001","2011","2011","2021",NA,"2018",NA,"1993 System of National Accounts methodology","Original chained constant price data are rescaled.","rev3","2001","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Office national des statistiques","http://www.ons.dz/","https://www.worldbank.org/en/where-we-work/algeria",NA
"ECU","EC","Quito",-78.5243,-0.229498,"Latin America & Caribbean","LCN","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Ecuador","Republic of Ecuador","EC","2022","2000",NA,"2022","2018","2023","2015","2018","2008 System of National Accounts methodology","2007","rev4","2014","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Instituto Nacional de Estadisticas y Censos","http://www.ecuadorencifras.gob.ec/","https://www.worldbank.org/en/country/ecuador",NA
"EGY","EG","Cairo",31.2461,30.0982,"Middle East & North Africa","MEA","Lower middle income","LMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM5 (Converted into BPM6 by IMF)","Egypt","Arab Republic of Egypt","EG","2017","2010",NA,"2019","2021","2022","2021",NA,"1993 System of National Accounts methodology","2016/17","rev4","2018","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,NA," Central Agency for Public Mobilization and Statistics","http://www.capmas.gov.eg/","https://www.worldbank.org/en/country/egypt",NA
"ERI","ER","Asmara",38.9183,15.3315,"Sub-Saharan Africa","SSF","Low income","LIC","IDA",NA,"BPM5 (Converted into BPM6 by IMF)","Eritrea","State of Eritrea","ER",NA,NA,NA,"1993",NA,NA,"2002",NA,"1968 System of National Accounts methodology","2011",NA,NA,"IMF doesn't report CPI data for this country",NA,"MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise",NA,NA,"https://www.worldbank.org/en/country/eritrea",NA
"ESP","ES","Madrid",-3.70327,40.4167,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Spain","Kingdom of Spain","ES","2021","2020",NA,"2022","2020","2023","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","noncash recording basis"," Instituto Nacional de Estadística","http://www.ine.es/","https://www.worldbank.org/en/country/spain",NA
"EST","EE","Tallinn",24.7586,59.4392,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Estonia","Republic of Estonia","EE","2021","2020",NA,"2022","2020","2023","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","noncash recording basis"," Statistics Estonia","http://www.stat.ee/","https://www.worldbank.org/en/country/estonia",NA
"ETH","ET","Addis Ababa",38.7468,9.02274,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM5 (Converted into BPM6 by IMF)","Ethiopia","Federal Democratic Republic of Ethiopia","ET","2007","2002",NA,"2021","2019","2021","2019","2017","2008 System of National Accounts methodology","2015/2016","ISIC rev2","2016","COICOP","2001","SRFs Not Reported",NA,NA,NA," Central Statistical Agency of Ethiopia","http://www.csa.gov.et/","https://www.worldbank.org/en/country/ethiopia",NA
"FIN","FI","Helsinki",24.9525,60.1608,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Finland","Republic of Finland","FI","2021","2020",NA,"2022","2020","2022","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Statistics Finland","http://www.stat.fi/","https://www.worldbank.org/en/country/finland",NA
"FJI","FJ","Suva",178.399,-18.1149,"East Asia & Pacific","EAS","Upper middle income","UMC","Blend","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Fiji","Republic of Fiji","FJ","2017","2020",NA,"2019",NA,"2016","2021",NA,"2008 System of National Accounts methodology","2014","rev4","2014","COICOP",NA,"MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Fiji Islands Bureau of Statistics","http://www.statsfiji.gov.fj/","https://www.worldbank.org/en/country/pacificislands",NA
"FRA","FR","Paris",2.35097,48.8566,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","France","French Republic","FR","2016","2020",NA,"2022","2020","2022","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Institut National de la Statistique et des Études Économiques","http://www.insee.fr/","https://www.worldbank.org/en/country/france",NA
"FRO","FO","Torshavn",-6.91181,61.8926,"Europe & Central Asia","ECS","High income","HIC","Not classified",NA,"BPM5 (Converted into BPM6 by IMF)","Faroe Islands","Faroe Islands","FO",NA,NA,NA,NA,NA,"2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Statistics Faroe Islands","http://www.hagstova.fo/",NA,NA
"FSM","FM","Palikir",158.185,6.91771,"East Asia & Pacific","EAS","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Micronesia","Federated States of Micronesia","FM","2010","2016",NA,"2019",NA,NA,NA,NA,"1993 System of National Accounts methodology","2003/04",NA,NA,"COICOP",NA,"SRFs Not Reported",NA,NA,NA," Government of the Federated States of Micronesia (FSM)","http://www.fsmgov.org/info/people.html",NA,NA
"GAB","GA","Libreville",9.45162,0.38832,"Sub-Saharan Africa","SSF","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM5 (Converted into BPM6 by IMF)","Gabon","Gabonese Republic","GA","2013","2020","2021","2017",NA,"2012","2019",NA,"1993 System of National Accounts methodology","2001","rev3","2018","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Direction Générale des Statistiques","http://www.stat-gabon.org/","https://www.worldbank.org/en/country/gabon",NA
"GBR","GB","London",-0.126236,51.5002,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","United Kingdom","United Kingdom of Great Britain and Northern Ireland","GB","2021","2021",NA,"2022","2022","2023","2013","2023","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","SRFs Not Reported","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," UK Statistics Authority","http://www.statistics.gov.uk/","https://www.worldbank.org/en/country/unitedkingdom",NA
"GEO","GE","Tbilisi",44.793,41.71,"Europe & Central Asia","ECS","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Georgia","Georgia","GE","2014","2014",NA,"2021","2018","2023","2018","2019","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","nace rev2","annual chained","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","cash recording basis"," National Statistics Office of Georgia","http://www.geostat.ge/index.php?lang=eng","https://www.worldbank.org/en/country/georgia",NA
"GHA","GH","Accra",-0.20795,5.57045,"Sub-Saharan Africa","SSF","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Ghana","Republic of Ghana","GH","2021","2018","2013","2016","2020","2015","2022","2015","2008 System of National Accounts methodology","2013","rev4","2021","COICOP 2018","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Ghana Statistical Services","http://www.statsghana.gov.gh/","https://www.worldbank.org/en/country/ghana",NA
"GIB","GI",NA,NA,NA,"Europe & Central Asia","ECS","High income","HIC","Not classified",NA,NA,"Gibraltar","Gibraltar","GI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIN","GN","Conakry",-13.7,9.51667,"Sub-Saharan Africa","SSF","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Guinea","Republic of Guinea","GN","2014","2001",NA,"2018",NA,"2019","2018",NA,"2008 System of National Accounts methodology","Original chained constant price data are rescaled.","ISIC rev2","2019","COICOP",NA,"MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Direction Nationale de la Statistique","http://www.stat-guinee.org/","https://www.worldbank.org/en/country/guinea",NA
"GMB","GM","Banjul",-16.5885,13.4495,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","The Gambia","Republic of The Gambia","GM","2013","2012","2014","2020","2005","2023","2019",NA,"2008 System of National Accounts methodology","2013","rev3","2020","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Gambia Bureau of Statistics","http://www.gbos.gm/","https://www.worldbank.org/en/country/gambia",NA
"GNB","GW","Bissau",-15.1804,11.8037,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Guinea-Bissau","Republic of Guinea-Bissau","GW","2009",NA,NA,"2021",NA,"2018","2018",NA,"1993 System of National Accounts methodology","2005","ISIC rev2","2014","COICOP",NA,"MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Instituto Nacional de Estatística e Censos","http://www.stat-guinebissau.com/","https://www.worldbank.org/en/country/guineabissau",NA
"GNQ","GQ","Malabo",8.7741,3.7523,"Sub-Saharan Africa","SSF","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM5 (Converted into BPM6 by IMF)","Equatorial Guinea","Republic of Equatorial Guinea","GQ","2015","2015",NA,"2019",NA,NA,"2011",NA,"1993 System of National Accounts methodology","2006",NA,"2008","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Dirección Général de Estadística y Cuentas Nacionales","http://www.inege.gq/","https://www.worldbank.org/en/country/equatorialguinea",NA
"GRC","GR","Athens",23.7166,37.9792,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Greece","Hellenic Republic","GR","2021","2020",NA,"2022","2020","2023","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," National Statistical Service of Greece","http://www.statistics.gr/","https://www.worldbank.org/en/country/greece",NA
"GRD","GD","Saint George's",-61.7449,12.0653,"Latin America & Caribbean","LCN","Upper middle income","UMC","Blend","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Grenada","Grenada","GD","2021","2012",NA,"2018",NA,"2020","2008",NA,"1993 System of National Accounts methodology","2006","rev3","2010","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA,NA,NA,"https://www.worldbank.org/en/country/caribbean",NA
"GRL","GL","Nuuk",-51.7214,64.1836,"Europe & Central Asia","ECS","High income","HIC","Not classified",NA,NA,"Greenland","Greenland","GL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Statistics Greenland","http://www.stat.gl/",NA,NA
"GTM","GT","Guatemala City",-90.5328,14.6248,"Latin America & Caribbean","LCN","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Guatemala","Republic of Guatemala","GT","2018","2003",NA,"2014","2019","2022","2014",NA,"2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2010","COICOP 2018","2014","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Instituto Nacional de Estadística","http://www.ine.gob.gt/","https://www.worldbank.org/en/country/guatemala",NA
"GUM","GU","Agana",144.794,13.4443,"East Asia & Pacific","EAS","High income","HIC","Not classified",NA,NA,"Guam","Guam","GU",NA,NA,NA,NA,NA,NA,NA,NA,"1993 System of National Accounts methodology","2012",NA,NA,NA,NA,NA,NA,NA,NA," Bureau of Statistics and Plans","http://www.bsp.guam.gov/",NA,NA
"GUY","GY","Georgetown",-58.1548,6.80461,"Latin America & Caribbean","LCN","High income","HIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Guyana","Co-operative Republic of Guyana","GY","2022",NA,NA,"2018",NA,"2019","2019",NA,"2008 System of National Accounts methodology","2012","rev4","2009","Non-COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Bureau of Statistics","http://www.statisticsguyana.gov.gy/","https://www.worldbank.org/en/country/guineabissau",NA
"HKG","HK",NA,114.109,22.3964,"East Asia & Pacific","EAS","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Hong Kong SAR, China","Hong Kong Special Administrative Region of the People's Republic of China","HK",NA,NA,NA,NA,NA,"2023",NA,NA,"2008 System of National Accounts methodology","Original chained constant price data are rescaled.",NA,"2020","COICOP",NA,"MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Census and Statistics Department","http://www.censtatd.gov.hk/",NA,NA
"HND","HN","Tegucigalpa",-87.4667,15.1333,"Latin America & Caribbean","LCN","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM5 (Converted into BPM6 by IMF)","Honduras","Republic of Honduras","HN","2013",NA,NA,"2019","2014","2022","2019",NA,"1993 System of National Accounts methodology","2000","rev3","1999","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Instituto Nacional de Estadisticas","https://www.ine.gob.hn/V3/","https://www.worldbank.org/en/country/honduras",NA
"HRV","HR","Zagreb",15.9614,45.8069,"Europe & Central Asia","ECS","High income","HIC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Croatia","Republic of Croatia","HR","2021","2020",NA,"2022","2020","2018","2019","2019","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","noncash recording basis"," Croatian Bureau of Statistics","http://www.dzs.hr/","https://www.worldbank.org/en/country/croatia",NA
"HTI","HT","Port-au-Prince",-72.3288,18.5392,"Latin America & Caribbean","LCN","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM5 (Converted into BPM6 by IMF)","Haiti","Republic of Haiti","HT","2003","2009",NA,"2017",NA,NA,"2017",NA,"2008 System of National Accounts methodology","2011/12","rev3","2017","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Institut Haïtien de Statistique  et d’Informatique","http://www.ihsi.ht/","https://www.worldbank.org/en/country/haiti",NA
"HUN","HU","Budapest",19.0408,47.4984,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Hungary","Hungary","HU","2022","2020",NA,"2022","2020","2023","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","noncash recording basis"," Hungarian Central Statistical Office","http://www.ksh.hu/?lang=en","https://www.worldbank.org/en/country/eu",NA
"IDN","ID","Jakarta",106.83,-6.19752,"East Asia & Pacific","EAS","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Indonesia","Republic of Indonesia","ID","2020","2023",NA,"2023","2014","2023","2017","2014","2008 System of National Accounts methodology","2010","rev4","2012","Non-COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"cash recording basis"," BPS- Statistics Indonesia","http://www.bps.go.id/","https://www.worldbank.org/en/country/indonesia",NA
"IMN","IM","Douglas",-4.47928,54.1509,"Europe & Central Asia","ECS","High income","HIC","Not classified",NA,NA,"Isle of Man","Isle of Man","IM",NA,NA,NA,NA,NA,NA,NA,NA,"2008 System of National Accounts methodology","Original chained constant price data are rescaled.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IND","IN","New Delhi",77.225,28.6353,"South Asia","SAS","Lower middle income","LMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","India","Republic of India","IN","2011","2016",NA,"2011","2014","2023","2020","2017","2008 System of National Accounts methodology","2011/12","rev3","2012","Non-COICOP","2014","SRFs Not Reported","Generic Statistical Business Process Model (GSBPM)",NA,NA," Ministry of Statistcs and Programme Implementation","http://www.mospi.gov.in/","https://www.worldbank.org/en/country/india",NA
"IRL","IE","Dublin",-6.26749,53.3441,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Ireland","Ireland","IE","2022","2020",NA,"2022","2022","2022","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Central Statistics Office Ireland","http://www.cso.ie/",NA,NA
"IRN","IR","Tehran",51.4447,35.6878,"Middle East & North Africa","MEA","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM5 (Converted into BPM6 by IMF)","Iran","Islamic Republic of Iran","IR","2016","2014",NA,"2022","2019","2022","2000",NA,"2008 System of National Accounts methodology","2016/17","rev3","2021","COICOP","1986","SRFs Not Reported",NA,NA,"Otherwise"," Statistical Centre of Iran","http://www.amar.org.ir/","https://www.worldbank.org/en/country/iran",NA
"IRQ","IQ","Baghdad",44.394,33.3302,"Middle East & North Africa","MEA","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Iraq","Republic of Iraq","IQ","1997",NA,NA,"2019","2022","2021","2018",NA,"1968 System of National Accounts methodology","2007","rev3","2012","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Central Organization for Statistics and Information Technology (COSIT)","http://cosit.gov.iq/english/index.php","https://www.worldbank.org/en/country/iraq",NA
"ISL","IS","Reykjavik",-21.8952,64.1353,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Iceland","Republic of Iceland","IS","2021","2020",NA,"2019","2020","2022","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","nace rev2","annual chained","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","noncash recording basis"," Statistics Iceland","http://www.hagstofa.is/","https://www.worldbank.org/en/country/iceland",NA
"ISR","IL",NA,35.2035,31.7717,"Middle East & North Africa","MEA","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Israel","State of Israel","IL","2022","2017",NA,"2021","2023","2022","2020","2023","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","2014","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Central Bureau of Statistics","http://www.cbs.gov.il/","https://www.worldbank.org/en/country/israel",NA
"ITA","IT","Rome",12.4823,41.8955,"Europe & Central Asia","ECS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Italy","Italian Republic","IT","2021","2020",NA,"2022","2020","2022","2019","2021","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","annual chained","COICOP","ESA 2010","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," National Institut of Statistics","http://www.istat.it/","https://www.worldbank.org/en/country/italy",NA
"JAM","JM","Kingston",-76.792,17.9927,"Latin America & Caribbean","LCN","Upper middle income","UMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Jamaica","Jamaica","JM","2022","2007",NA,"2021",NA,"2022","2011",NA,"1993 System of National Accounts methodology","2007","rev3","2019","COICOP 2018","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA," Statistical Institute of Jamaica","http://www.statinja.gov.jm/","https://www.worldbank.org/en/country/jamaica",NA
"JOR","JO","Amman",35.9263,31.9497,"Middle East & North Africa","MEA","Lower middle income","LMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Jordan","Hashemite Kingdom of Jordan","JO","2015","2017","2018","2017","2017","2022","2020","2015","2008 System of National Accounts methodology","2016","rev4","2018","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"cash recording basis"," Department of Statistics","http://www.dos.gov.jo/","https://www.worldbank.org/en/country/jordan",NA
"JPN","JP","Tokyo",139.77,35.67,"East Asia & Pacific","EAS","High income","HIC","Not classified","Special Data Dissemination Standard Plus (SDDS Plus)","BPM6","Japan","Japan","JP","2020","2020",NA,"2022","2020","2023","2016","2023","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2020","COICOP 2018","2001","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"noncash recording basis"," Office of Director-General for Policy Planning (Statistical Standards)","http://www.soumu.go.jp/english/dgpp_ss/seido/guide/2011ver/07.htm","https://www.worldbank.org/en/country/japan",NA
"KAZ","KZ","Astana",71.4382,51.1879,"Europe & Central Asia","ECS","Upper middle income","UMC","IBRD","Special Data Dissemination Standard (SDDS)","BPM6","Kazakhstan","Republic of Kazakhstan","KZ","2021","2006",NA,"2021",NA,"2013","2015",NA,"1993 System of National Accounts methodology","Original chained constant price data are rescaled.","nace rev2","2021","Non-COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,"cash recording basis"," Statistical Office","http://www.stat.gov.kz/","https://www.worldbank.org/en/country/kazakhstan",NA
"KEN","KE","Nairobi",36.8126,-1.27975,"Sub-Saharan Africa","SSF","Lower middle income","LMC","Blend","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Kenya","Republic of Kenya","KE","2019","2019","2017","2021","2021","1999","2022",NA,"2008 System of National Accounts methodology","2016","rev3","2019","COICOP 2018","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"noncash recording basis"," National Bureau of Statistics","http://www.knbs.or.ke/","https://www.worldbank.org/en/country/kenya",NA
"KGZ","KG","Bishkek",74.6057,42.8851,"Europe & Central Asia","ECS","Lower middle income","LMC","IDA","Special Data Dissemination Standard (SDDS)","BPM6","Kyrgyz Republic","Kyrgyz Republic","KG","2022","2002",NA,"2021",NA,"2021","2018","2003","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2016","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)","ICSE-93","cash recording basis"," National Statistical Committee of Kyrgyz Republic","http://www.stat.kg/","https://www.worldbank.org/en/country/kyrgyzrepublic",NA
"KHM","KH","Phnom Penh",104.874,11.5556,"East Asia & Pacific","EAS","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Cambodia","Kingdom of Cambodia","KH","2019","2013",NA,"2019","2019","2019","2021","2005","1993 System of National Accounts methodology","2000","rev3",NA,"COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,NA," National Institute of Statistics","http://www.nis.gov.kh/","https://www.worldbank.org/en/country/cambodia",NA
"KIR","KI","Tarawa",172.979,1.32905,"East Asia & Pacific","EAS","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Kiribati","Republic of Kiribati","KI","2015","2020",NA,"2019",NA,NA,"2018",NA,"1993 System of National Accounts methodology","2006","rev3","2006","COICOP","1986","Non-Reporter",NA,NA,"cash recording basis"," National Statistics Office","http://www.spc.int/prism/Country/KI/Stats/","https://www.worldbank.org/en/country/pacificislands",NA
"KNA","KN","Basseterre",-62.7309,17.3,"Latin America & Caribbean","LCN","High income","HIC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM6","St. Kitts and Nevis","St. Kitts and Nevis","KN","2022","2000",NA,"2017",NA,NA,"2010",NA,"1993 System of National Accounts methodology","2006","rev3","2010","COICOP","1986","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,NA,NA,NA,"https://www.worldbank.org/en/country/caribbean",NA
"KOR","KR","Seoul",126.957,37.5323,"East Asia & Pacific","EAS","High income","HIC","Not classified","Special Data Dissemination Standard (SDDS)","BPM6","Korea","Republic of Korea","KR","2020","2020",NA,"2022","2023","2023","2023","2023","2008 System of National Accounts methodology","Original chained constant price data are rescaled.","rev4","2020","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)","Generic Statistical Business Process Model (GSBPM)",NA,NA," Statistcs Korea","http://kostat.go.kr/","https://www.worldbank.org/en/country/korea",NA
"KWT","KW","Kuwait City",47.9824,29.3721,"Middle East & North Africa","MEA","High income","HIC","Not classified","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Kuwait","State of Kuwait","KW","2021",NA,NA,"2021","2019","2016","2010","2019","1993 System of National Accounts methodology","2010","rev3","annual chained","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"cash recording basis"," Central Statistical Office","http://www.csb.gov.kw/Default_EN.aspx","https://www.worldbank.org/en/country/gcc",NA
"LAO","LA","Vientiane",102.177,18.5826,"East Asia & Pacific","EAS","Lower middle income","LMC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Lao PDR","Lao People's Democratic Republic","LA","2015","2020","2006","2018",NA,"2022","2017",NA,"2008 System of National Accounts methodology","2012",NA,"2015","COICOP",NA,"SRFs Not Reported",NA,NA,NA," Lao Statistics Bureau","http://www.lsb.gov.la/","https://www.worldbank.org/en/country/lao",NA
"LBN","LB","Beirut",35.5134,33.8872,"Middle East & North Africa","MEA","Lower middle income","LMC","IBRD","Enhanced General Data Dissemination System (e-GDDS)","BPM5 (Converted into BPM6 by IMF)","Lebanon","Lebanese Republic","LB",NA,"2010",NA,"2011",NA,"2019","2020",NA,"2008 System of National Accounts methodology","2010","na","2013","COICOP","2001","SRFs Not Reported",NA,NA,NA," Central Administration for Statistics","http://www.cas.gov.lb/","https://www.worldbank.org/en/country/lebanon",NA
"LBR","LR","Monrovia",-10.7957,6.30039,"Sub-Saharan Africa","SSF","Low income","LIC","IDA","Enhanced General Data Dissemination System (e-GDDS)","BPM6","Liberia","Republic of Liberia","LR","2022",NA,"2017","2016","2021","2017","2019",NA,"2008 System of National Accounts methodology","2016","rev3","2018","COICOP","2001","MFS provided in Standardized Report Froms (MFSM 2000)",NA,NA,"Otherwise"," Liberia Institute of Statistics & Geo-Information Services","http://www.tlcafrica.com/lisgis/lisgis.htm","https://www.worldbank.org/en/country/liberia",NA
